,B,I,O,accuracy,macro avg,weighted avg
precision,0.04597107438016529,0.02739067755886593,0.930139695256446,0.8676434187107345,0.33450048239849245,0.8681338967499812
recall,0.04649947753396029,0.02743022136669875,0.9295858512916018,0.8676434187107345,0.33450518339742025,0.8676434187107345
f1-score,0.04623376623376624,0.027410435200769415,0.9298626908040224,0.8676434187107345,0.33450229741285264,0.8678885125322546
support,3828.0,2078.0,78933.0,0.8676434187107345,84839.0,84839.0
