,B,I,O,accuracy,macro avg,weighted avg
precision,0.052075471698113204,0.029144768275203056,0.9281465407199387,0.8645981423561747,0.3364555935644183,0.86441132026298
recall,0.051840721262208865,0.029144768275203056,0.9283598478077679,0.8645981423561747,0.33644844578172667,0.8645981423561747
f1-score,0.051957831325301206,0.029144768275203056,0.9282531820096769,0.8645981423561747,0.33645192720339373,0.8645047073955531
support,3993.0,2093.0,78322.0,0.8645981423561747,84408.0,84408.0
