,B,I,O,accuracy,macro avg,weighted avg
precision,0.04462727499376714,0.027480204937121566,0.9286681715575621,0.8648629770192554,0.33359188382948357,0.8652441710786395
recall,0.04502012072434608,0.027505827505827505,0.9282374619251162,0.8648629770192554,0.3335878033850966,0.8648629770192554
f1-score,0.04482283711030425,0.02749301025163094,0.9284527667897466,0.8648629770192554,0.33358953805056063,0.8650534876659053
support,3976.0,2145.0,79777.0,0.8648629770192554,85898.0,85898.0
