,B,I,O,accuracy,macro avg,weighted avg
precision,0.04945553539019964,0.031959629941127,0.9290962694183014,0.8658082041778976,0.33683714491654265,0.86586764296684
recall,0.049287813701107845,0.03224437844717862,0.929033062723933,0.8658082041778976,0.3368550849574065,0.8658082041778976
f1-score,0.04937153210281961,0.032101372756071805,0.929064664996088,0.8658082041778976,0.3368458566183265,0.8658379002702977
support,4423.0,2357.0,88196.0,0.8658082041778976,94976.0,94976.0
