,B,I,O,accuracy,macro avg,weighted avg
precision,0.04648760330578512,0.02787121576165305,0.9293664275029789,0.8669597708600997,0.33457508219013904,0.866743960324285
recall,0.046668395125745395,0.027410207939508508,0.9296021099079451,0.8669597708600997,0.334560237657733,0.8669597708600997
f1-score,0.04657782378056669,0.027638789611627357,0.9294842537654039,0.8669597708600997,0.3345669557191993,0.8668517957849832
support,3857.0,2116.0,78866.0,0.8669597708600997,84839.0,84839.0
