,B,I,O,accuracy,macro avg,weighted avg
precision,0.05326768128916741,0.033502968617472435,0.9296349877587358,0.867281716070579,0.3388018792217919,0.867037260486388
recall,0.053471130083127386,0.03290295710120783,0.9299040452389964,0.867281716070579,0.3387593774744439,0.867281716070579
f1-score,0.05336921179504429,0.033200252153813836,0.9297694970338465,0.867281716070579,0.33877965366090157,0.867159393952171
support,4451.0,2401.0,89834.0,0.867281716070579,96686.0,96686.0
