,B,I,O,accuracy,macro avg,weighted avg
precision,0.052830188679245285,0.02866698518872432,0.9277763594587695,0.8642782674627998,0.336424511108913,0.863758838482692
recall,0.05222581447401144,0.02861230329041488,0.9283688849150594,0.8642782674627998,0.33640233422649524,0.8642782674627998
f1-score,0.05252626313156578,0.028639618138424822,0.9280725276128456,0.8642782674627998,0.33641280296094545,0.864018381789617
support,4021.0,2097.0,78290.0,0.8642782674627998,84408.0,84408.0
