,B,I,O,accuracy,macro avg,weighted avg
precision,0.04674586776859504,0.02787121576165305,0.9293157214207844,0.8669244097643772,0.33464426831701083,0.8666705136213795
recall,0.046685581635285016,0.02761904761904762,0.9295985392204104,0.8669244097643772,0.33463438949158103,0.8669244097643772
f1-score,0.04671570525229062,0.027744558718010046,0.9294571088064508,0.8669244097643772,0.3346391242589171,0.8667974266229597
support,3877.0,2100.0,78862.0,0.8669244097643772,84839.0,84839.0
