,B,I,O,accuracy,macro avg,weighted avg
precision,0.05226130653266332,0.038752362948960305,0.929158487937694,0.8659785330527504,0.34005738580643924,0.866204061396436
recall,0.052658227848101265,0.038606403013182675,0.928899692354438,0.8659785330527504,0.3400547744052407,0.8659785330527504
f1-score,0.05245901639344262,0.03867924528301887,0.9290290721231766,0.8659785330527504,0.34005577793321273,0.8660912421853562
support,3950.0,2124.0,78987.0,0.8659785330527504,85061.0,85061.0
