,B-AG.01,B-AG.01.aa,B-AG.01.ab,B-AG.01.ac,B-AG.01.ad,B-AG.01.ae,B-AG.01.ae.01,B-AG.01.d,B-AG.01.d.02,B-AG.01.d.03,B-AG.01.d.04,B-AG.01.d.05,B-AG.01.d.06,B-AG.01.d.07,B-AG.01.e,B-AG.01.e.01,B-AG.01.e.02,B-AG.01.f,B-AG.01.g,B-AG.01.h,B-AG.01.h.01,B-AG.01.h.01.a,B-AG.01.h.01.b,B-AG.01.h.01.c,B-AG.01.h.01.d,B-AG.01.h.01.e,B-AG.01.h.01.f,B-AG.01.h.02,B-AG.01.h.02.a,B-AG.01.h.02.b,B-AG.01.h.02.c,B-AG.01.h.02.d,B-AG.01.h.02.e,B-AG.01.h.02.f,B-AG.01.h.02.g,B-AG.01.h.02.h,B-AG.01.h.02.i,B-AG.01.i,B-AG.01.k,B-AG.01.l,B-AG.01.l.01,B-AG.01.l.02,B-AG.01.l.03,B-AG.01.l.04,B-AG.01.m,B-AG.01.n,B-AG.01.n.02,B-AG.01.n.05,B-AG.01.n.06,B-AG.01.n.07,B-AG.01.n.08,B-AG.01.n.09,B-AG.01.n.10,B-AG.01.n.11,B-AG.01.n.12,B-AG.01.n.13,B-AG.01.n.14,B-AG.01.n.15,B-AG.01.n.16,B-AG.01.n.17,B-AG.01.n.17.a,B-AG.01.n.17.b,B-AG.01.n.18,B-AG.01.y,B-AG.01.y.01,B-AG.01.y.01.a,B-AG.01.y.01.b,B-AG.01.z,B-FOOD,B-X,I-AG.01,I-AG.01.aa,I-AG.01.ab,I-AG.01.ac,I-AG.01.ad,I-AG.01.d,I-AG.01.d.03,I-AG.01.d.05,I-AG.01.d.06,I-AG.01.d.07,I-AG.01.e,I-AG.01.e.02,I-AG.01.f,I-AG.01.g,I-AG.01.h,I-AG.01.h.01,I-AG.01.h.01.a,I-AG.01.h.01.b,I-AG.01.h.01.c,I-AG.01.h.01.e,I-AG.01.h.01.f,I-AG.01.h.02,I-AG.01.h.02.a,I-AG.01.h.02.b,I-AG.01.h.02.c,I-AG.01.h.02.d,I-AG.01.h.02.e,I-AG.01.h.02.f,I-AG.01.h.02.g,I-AG.01.h.02.h,I-AG.01.h.02.i,I-AG.01.i,I-AG.01.k,I-AG.01.l,I-AG.01.l.01,I-AG.01.l.02,I-AG.01.l.03,I-AG.01.l.04,I-AG.01.m,I-AG.01.n,I-AG.01.n.02,I-AG.01.n.05,I-AG.01.n.06,I-AG.01.n.07,I-AG.01.n.08,I-AG.01.n.09,I-AG.01.n.10,I-AG.01.n.11,I-AG.01.n.12,I-AG.01.n.13,I-AG.01.n.14,I-AG.01.n.15,I-AG.01.n.16,I-AG.01.n.17,I-AG.01.n.17.a,I-AG.01.n.17.b,I-AG.01.y,I-AG.01.y.01,I-AG.01.y.01.a,I-AG.01.y.01.b,I-AG.01.z,I-FOOD,I-X,O,accuracy,macro avg,weighted avg
precision,0.009389671361502348,0.0,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.004672897196261682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05574912891986063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041841004184100415,0.027303754266211604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1232876712328767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9296228562659061,0.8647896701781086,0.008877152389458132,0.8643466199439155
recall,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.009685230024213076,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06324110671936758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.03162055335968379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035971223021582736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13432835820895522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9300510510894737,0.8647896701781086,0.009048197661484451,0.8647896701781086
f1-score,0.010282776349614397,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0,0.009791921664626686,0.0,0.0,0.0,0.0,0.0,0.005076142131979696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05925925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041753653444676405,0.029304029304029304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003717472118959108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.929836904381196,0.8647896701781086,0.008956231955366165,0.8645663190998252
support,176.0,14.0,35.0,95.0,85.0,2.0,3.0,144.0,4.0,20.0,1.0,12.0,38.0,96.0,413.0,34.0,45.0,247.0,55.0,34.0,180.0,23.0,40.0,45.0,4.0,40.0,105.0,166.0,104.0,9.0,18.0,22.0,46.0,35.0,107.0,15.0,34.0,253.0,24.0,10.0,42.0,62.0,152.0,23.0,5.0,63.0,15.0,4.0,9.0,5.0,21.0,16.0,24.0,61.0,3.0,13.0,13.0,5.0,2.0,1.0,84.0,9.0,0.0,76.0,88.0,101.0,29.0,49.0,2.0,240.0,253.0,14.0,64.0,32.0,24.0,91.0,4.0,2.0,10.0,13.0,278.0,12.0,227.0,14.0,70.0,17.0,12.0,6.0,8.0,4.0,8.0,27.0,8.0,2.0,9.0,14.0,3.0,6.0,33.0,1.0,7.0,67.0,24.0,12.0,3.0,13.0,46.0,20.0,2.0,36.0,6.0,1.0,12.0,10.0,17.0,24.0,32.0,64.0,2.0,2.0,6.0,6.0,2.0,1.0,42.0,12.0,77.0,19.0,59.0,5.0,1.0,3.0,0.0,78157.0,0.8647896701781086,84106.0,84106.0
