,B-AG.01,B-AG.01.aa,B-AG.01.ab,B-AG.01.ac,B-AG.01.ad,B-AG.01.ae,B-AG.01.ae.01,B-AG.01.d,B-AG.01.d.02,B-AG.01.d.03,B-AG.01.d.04,B-AG.01.d.05,B-AG.01.d.06,B-AG.01.d.07,B-AG.01.e,B-AG.01.e.01,B-AG.01.e.02,B-AG.01.f,B-AG.01.g,B-AG.01.h,B-AG.01.h.01,B-AG.01.h.01.a,B-AG.01.h.01.b,B-AG.01.h.01.c,B-AG.01.h.01.d,B-AG.01.h.01.e,B-AG.01.h.01.f,B-AG.01.h.02,B-AG.01.h.02.a,B-AG.01.h.02.b,B-AG.01.h.02.c,B-AG.01.h.02.d,B-AG.01.h.02.e,B-AG.01.h.02.f,B-AG.01.h.02.g,B-AG.01.h.02.h,B-AG.01.h.02.i,B-AG.01.i,B-AG.01.k,B-AG.01.l,B-AG.01.l.01,B-AG.01.l.02,B-AG.01.l.03,B-AG.01.l.04,B-AG.01.m,B-AG.01.n,B-AG.01.n.02,B-AG.01.n.03,B-AG.01.n.05,B-AG.01.n.06,B-AG.01.n.07,B-AG.01.n.08,B-AG.01.n.09,B-AG.01.n.10,B-AG.01.n.11,B-AG.01.n.12,B-AG.01.n.13,B-AG.01.n.14,B-AG.01.n.15,B-AG.01.n.16,B-AG.01.n.17,B-AG.01.n.17.a,B-AG.01.n.17.b,B-AG.01.n.18,B-AG.01.y,B-AG.01.y.01,B-AG.01.y.01.a,B-AG.01.y.01.b,B-AG.01.z,B-FOOD,B-X,I-AG.01,I-AG.01.aa,I-AG.01.ab,I-AG.01.ac,I-AG.01.ad,I-AG.01.ae,I-AG.01.d,I-AG.01.d.02,I-AG.01.d.03,I-AG.01.d.05,I-AG.01.d.06,I-AG.01.d.07,I-AG.01.e,I-AG.01.e.01,I-AG.01.e.02,I-AG.01.f,I-AG.01.g,I-AG.01.h,I-AG.01.h.01,I-AG.01.h.01.a,I-AG.01.h.01.b,I-AG.01.h.01.c,I-AG.01.h.01.e,I-AG.01.h.01.f,I-AG.01.h.02,I-AG.01.h.02.a,I-AG.01.h.02.b,I-AG.01.h.02.c,I-AG.01.h.02.d,I-AG.01.h.02.e,I-AG.01.h.02.f,I-AG.01.h.02.g,I-AG.01.h.02.h,I-AG.01.h.02.i,I-AG.01.i,I-AG.01.k,I-AG.01.l,I-AG.01.l.01,I-AG.01.l.02,I-AG.01.l.03,I-AG.01.l.04,I-AG.01.m,I-AG.01.n,I-AG.01.n.02,I-AG.01.n.05,I-AG.01.n.06,I-AG.01.n.07,I-AG.01.n.08,I-AG.01.n.09,I-AG.01.n.10,I-AG.01.n.11,I-AG.01.n.12,I-AG.01.n.13,I-AG.01.n.14,I-AG.01.n.15,I-AG.01.n.16,I-AG.01.n.17.a,I-AG.01.n.17.b,I-AG.01.n.18,I-AG.01.y,I-AG.01.y.01,I-AG.01.y.01.a,I-AG.01.y.01.b,I-AG.01.z,I-FOOD,I-X,O,accuracy,macro avg,weighted avg
precision,0.009852216748768473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005235602094240838,0.0,0.0,0.003703703703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008620689655172414,0.0,0.0,0.04804804804804805,0.0,0.0,0.0,0.0,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004201680672268907,0.025179856115107913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004405286343612335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9307717745217745,0.863967811969039,0.008217921107438532,0.8656794417748374
recall,0.011560693641618497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00516795865633075,0.0,0.0,0.00423728813559322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.029535864978902954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004739336492890996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9288461294375976,0.863967811969039,0.00857787760925701,0.863967811969039
f1-score,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005201560468140443,0.0,0.0,0.003952569169960474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091324200913242,0.0,0.0,0.051529790660225436,0.0,0.0,0.0,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004098360655737705,0.027184466019417475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004566210045662101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9298079549713807,0.863967811969039,0.008370560698478312,0.864817999644988
support,173.0,13.0,32.0,65.0,82.0,3.0,3.0,124.0,4.0,19.0,1.0,11.0,40.0,80.0,387.0,40.0,35.0,236.0,71.0,34.0,173.0,22.0,45.0,47.0,7.0,48.0,93.0,166.0,112.0,1.0,18.0,27.0,60.0,50.0,103.0,18.0,16.0,288.0,36.0,11.0,39.0,73.0,140.0,26.0,7.0,67.0,14.0,0.0,2.0,5.0,3.0,23.0,15.0,24.0,62.0,1.0,15.0,12.0,4.0,1.0,1.0,85.0,12.0,3.0,83.0,94.0,124.0,53.0,44.0,2.0,250.0,237.0,14.0,69.0,27.0,19.0,1.0,75.0,1.0,3.0,2.0,10.0,13.0,269.0,1.0,11.0,211.0,15.0,71.0,14.0,13.0,5.0,8.0,10.0,13.0,28.0,9.0,1.0,6.0,10.0,4.0,10.0,33.0,3.0,5.0,80.0,37.0,6.0,2.0,9.0,48.0,25.0,4.0,53.0,9.0,1.0,7.0,8.0,17.0,21.0,31.0,51.0,2.0,1.0,10.0,6.0,0.0,35.0,14.0,0.0,74.0,20.0,78.0,14.0,3.0,0.0,0.0,78787.0,0.863967811969039,84752.0,84752.0
