,B-AG.01,B-AG.01.aa,B-AG.01.ab,B-AG.01.ac,B-AG.01.ad,B-AG.01.ae,B-AG.01.ae.01,B-AG.01.d,B-AG.01.d.02,B-AG.01.d.03,B-AG.01.d.04,B-AG.01.d.05,B-AG.01.d.06,B-AG.01.d.07,B-AG.01.e,B-AG.01.e.01,B-AG.01.e.02,B-AG.01.f,B-AG.01.g,B-AG.01.h,B-AG.01.h.01,B-AG.01.h.01.a,B-AG.01.h.01.b,B-AG.01.h.01.c,B-AG.01.h.01.d,B-AG.01.h.01.e,B-AG.01.h.01.f,B-AG.01.h.02,B-AG.01.h.02.a,B-AG.01.h.02.b,B-AG.01.h.02.c,B-AG.01.h.02.d,B-AG.01.h.02.e,B-AG.01.h.02.f,B-AG.01.h.02.g,B-AG.01.h.02.h,B-AG.01.h.02.i,B-AG.01.i,B-AG.01.k,B-AG.01.l,B-AG.01.l.01,B-AG.01.l.02,B-AG.01.l.03,B-AG.01.l.04,B-AG.01.m,B-AG.01.n,B-AG.01.n.02,B-AG.01.n.03,B-AG.01.n.05,B-AG.01.n.06,B-AG.01.n.07,B-AG.01.n.08,B-AG.01.n.09,B-AG.01.n.10,B-AG.01.n.11,B-AG.01.n.12,B-AG.01.n.13,B-AG.01.n.14,B-AG.01.n.15,B-AG.01.n.16,B-AG.01.n.17,B-AG.01.n.17.a,B-AG.01.n.17.b,B-AG.01.n.18,B-AG.01.y,B-AG.01.y.01,B-AG.01.y.01.a,B-AG.01.y.01.b,B-AG.01.z,B-FOOD,B-X,I-AG.01,I-AG.01.aa,I-AG.01.ab,I-AG.01.ac,I-AG.01.ad,I-AG.01.ae,I-AG.01.ae.01,I-AG.01.d,I-AG.01.d.02,I-AG.01.d.03,I-AG.01.d.05,I-AG.01.d.06,I-AG.01.d.07,I-AG.01.e,I-AG.01.e.01,I-AG.01.e.02,I-AG.01.f,I-AG.01.g,I-AG.01.h,I-AG.01.h.01,I-AG.01.h.01.a,I-AG.01.h.01.b,I-AG.01.h.01.c,I-AG.01.h.01.e,I-AG.01.h.01.f,I-AG.01.h.02,I-AG.01.h.02.a,I-AG.01.h.02.b,I-AG.01.h.02.c,I-AG.01.h.02.d,I-AG.01.h.02.e,I-AG.01.h.02.f,I-AG.01.h.02.g,I-AG.01.h.02.h,I-AG.01.h.02.i,I-AG.01.i,I-AG.01.k,I-AG.01.l,I-AG.01.l.01,I-AG.01.l.02,I-AG.01.l.03,I-AG.01.l.04,I-AG.01.m,I-AG.01.n,I-AG.01.n.02,I-AG.01.n.05,I-AG.01.n.06,I-AG.01.n.07,I-AG.01.n.08,I-AG.01.n.09,I-AG.01.n.10,I-AG.01.n.11,I-AG.01.n.12,I-AG.01.n.13,I-AG.01.n.14,I-AG.01.n.15,I-AG.01.n.16,I-AG.01.n.17,I-AG.01.n.17.a,I-AG.01.n.17.b,I-AG.01.n.18,I-AG.01.y,I-AG.01.y.01,I-AG.01.y.01.a,I-AG.01.y.01.b,I-AG.01.z,I-FOOD,I-X,O,accuracy,macro avg,weighted avg
precision,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012755102040816327,0.0,0.0,0.0033783783783783786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025089605734767026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9299698985657552,0.8653900442269691,0.008061509662169527,0.864717813722893
recall,0.011428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012690355329949238,0.0,0.0,0.0035842293906810036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028925619834710745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034129692832764505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0989010989010989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9306525921425678,0.8653900442269691,0.008229253116506111,0.8653900442269691
f1-score,0.010958904109589041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012722646310432571,0.0,0.0,0.0034782608695652175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026871401151631478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003484320557491289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09045226130653265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9303111201083035,0.8653900442269691,0.0081393100300676,0.8650525728922449
support,175.0,8.0,31.0,101.0,79.0,3.0,3.0,119.0,5.0,22.0,0.0,15.0,42.0,74.0,394.0,50.0,30.0,279.0,59.0,27.0,178.0,20.0,41.0,48.0,3.0,44.0,110.0,176.0,112.0,14.0,19.0,34.0,62.0,37.0,92.0,8.0,48.0,288.0,34.0,10.0,33.0,52.0,154.0,20.0,8.0,58.0,21.0,1.0,5.0,5.0,5.0,13.0,24.0,26.0,60.0,2.0,8.0,18.0,4.0,1.0,3.0,87.0,12.0,2.0,68.0,85.0,74.0,33.0,48.0,1.0,231.0,242.0,7.0,62.0,47.0,27.0,0.0,1.0,76.0,1.0,3.0,1.0,14.0,8.0,293.0,1.0,1.0,269.0,17.0,59.0,16.0,11.0,7.0,8.0,4.0,16.0,22.0,8.0,1.0,5.0,15.0,8.0,11.0,24.0,1.0,11.0,91.0,32.0,4.0,4.0,15.0,45.0,16.0,4.0,40.0,11.0,1.0,5.0,10.0,13.0,31.0,45.0,63.0,2.0,0.0,15.0,6.0,1.0,1.0,36.0,16.0,1.0,60.0,20.0,51.0,10.0,1.0,4.0,1.0,79008.0,0.8653900442269691,85016.0,85016.0
