,B-AG.01,B-AG.01.aa,B-AG.01.ab,B-AG.01.ac,B-AG.01.ad,B-AG.01.ae,B-AG.01.ae.01,B-AG.01.d,B-AG.01.d.02,B-AG.01.d.03,B-AG.01.d.04,B-AG.01.d.05,B-AG.01.d.06,B-AG.01.d.07,B-AG.01.e,B-AG.01.e.01,B-AG.01.e.02,B-AG.01.f,B-AG.01.g,B-AG.01.h,B-AG.01.h.01,B-AG.01.h.01.a,B-AG.01.h.01.b,B-AG.01.h.01.c,B-AG.01.h.01.d,B-AG.01.h.01.e,B-AG.01.h.01.f,B-AG.01.h.02,B-AG.01.h.02.a,B-AG.01.h.02.b,B-AG.01.h.02.c,B-AG.01.h.02.d,B-AG.01.h.02.e,B-AG.01.h.02.f,B-AG.01.h.02.g,B-AG.01.h.02.h,B-AG.01.h.02.i,B-AG.01.i,B-AG.01.k,B-AG.01.l,B-AG.01.l.01,B-AG.01.l.02,B-AG.01.l.03,B-AG.01.l.04,B-AG.01.m,B-AG.01.n,B-AG.01.n.02,B-AG.01.n.05,B-AG.01.n.06,B-AG.01.n.07,B-AG.01.n.08,B-AG.01.n.09,B-AG.01.n.10,B-AG.01.n.11,B-AG.01.n.12,B-AG.01.n.13,B-AG.01.n.14,B-AG.01.n.15,B-AG.01.n.16,B-AG.01.n.17,B-AG.01.n.17.a,B-AG.01.n.17.b,B-AG.01.n.18,B-AG.01.y,B-AG.01.y.01,B-AG.01.y.01.a,B-AG.01.y.01.b,B-AG.01.z,B-FOOD,B-X,I-AG.01,I-AG.01.aa,I-AG.01.ab,I-AG.01.ac,I-AG.01.ad,I-AG.01.ae,I-AG.01.ae.01,I-AG.01.d,I-AG.01.d.02,I-AG.01.d.03,I-AG.01.d.05,I-AG.01.d.06,I-AG.01.d.07,I-AG.01.e,I-AG.01.e.01,I-AG.01.e.02,I-AG.01.f,I-AG.01.g,I-AG.01.h,I-AG.01.h.01,I-AG.01.h.01.a,I-AG.01.h.01.b,I-AG.01.h.01.c,I-AG.01.h.01.e,I-AG.01.h.01.f,I-AG.01.h.02,I-AG.01.h.02.a,I-AG.01.h.02.b,I-AG.01.h.02.c,I-AG.01.h.02.d,I-AG.01.h.02.e,I-AG.01.h.02.f,I-AG.01.h.02.g,I-AG.01.h.02.h,I-AG.01.h.02.i,I-AG.01.i,I-AG.01.k,I-AG.01.l,I-AG.01.l.01,I-AG.01.l.02,I-AG.01.l.03,I-AG.01.l.04,I-AG.01.m,I-AG.01.n,I-AG.01.n.02,I-AG.01.n.06,I-AG.01.n.07,I-AG.01.n.08,I-AG.01.n.09,I-AG.01.n.10,I-AG.01.n.11,I-AG.01.n.12,I-AG.01.n.13,I-AG.01.n.14,I-AG.01.n.15,I-AG.01.n.16,I-AG.01.n.17,I-AG.01.n.17.a,I-AG.01.n.17.b,I-AG.01.n.18,I-AG.01.y,I-AG.01.y.01,I-AG.01.y.01.a,I-AG.01.y.01.b,I-AG.01.z,I-FOOD,I-X,O,accuracy,macro avg,weighted avg
precision,0.00904977375565611,0.0,0.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002288329519450801,0.0,0.0,0.006493506493506494,0.0,0.0,0.004629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.005405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002793296089385475,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.009900990099009901,0.008547008547008548,0.0,0.0,0.0,0.007326007326007326,0.024054982817869417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.9294192047520637,0.8649066039123401,0.008111912058498644,0.8643581819866349
recall,0.008403361344537815,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022727272727272726,0.0,0.0,0.006779661016949152,0.0,0.0,0.004484304932735426,0.0,0.0,0.0,0.0,0.0,0.0,0.005291005291005291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002932551319648094,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.009523809523809525,0.007936507936507936,0.0,0.0,0.0,0.006872852233676976,0.023972602739726026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.9300178543178068,0.8649066039123401,0.008046367516336252,0.8649066039123401
f1-score,0.008714596949891067,0.0,0.0,0.008771929824561405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022805017103762824,0.0,0.0,0.006633499170812605,0.0,0.0,0.004555808656036446,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028612303290414883,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012903225806451613,0.0,0.0,0.0,0.009708737864077669,0.00823045267489712,0.0,0.0,0.0,0.0070921985815602835,0.024013722126929676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003442340791738382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021978021978021983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014184397163120567,0.0,0.0,0.0,0.0,0.0,0.0,0.929718433166709,0.8649066039123401,0.008076274185970544,0.864631990542821
support,238.0,9.0,23.0,112.0,88.0,3.0,2.0,139.0,5.0,23.0,0.0,20.0,39.0,76.0,440.0,47.0,44.0,295.0,67.0,27.0,223.0,25.0,38.0,48.0,5.0,47.0,131.0,189.0,92.0,18.0,23.0,33.0,47.0,53.0,106.0,16.0,39.0,341.0,44.0,13.0,40.0,71.0,159.0,18.0,7.0,66.0,21.0,6.0,7.0,4.0,13.0,29.0,32.0,65.0,2.0,15.0,13.0,5.0,3.0,2.0,77.0,10.0,3.0,93.0,105.0,126.0,55.0,44.0,3.0,291.0,292.0,2.0,51.0,49.0,19.0,1.0,1.0,100.0,0.0,3.0,2.0,10.0,10.0,290.0,1.0,16.0,256.0,15.0,62.0,13.0,11.0,4.0,3.0,10.0,19.0,28.0,10.0,1.0,8.0,16.0,3.0,10.0,28.0,1.0,5.0,115.0,48.0,13.0,2.0,6.0,39.0,13.0,4.0,46.0,13.0,12.0,5.0,6.0,48.0,55.0,50.0,0.0,1.0,11.0,3.0,2.0,1.0,30.0,13.0,1.0,77.0,23.0,70.0,17.0,1.0,4.0,0.0,88494.0,0.8649066039123401,95186.0,95186.0
