,B-AG.01,B-AG.01.aa,B-AG.01.ab,B-AG.01.ac,B-AG.01.ad,B-AG.01.ae,B-AG.01.ae.01,B-AG.01.d,B-AG.01.d.02,B-AG.01.d.03,B-AG.01.d.05,B-AG.01.d.06,B-AG.01.d.07,B-AG.01.e,B-AG.01.e.01,B-AG.01.e.02,B-AG.01.f,B-AG.01.g,B-AG.01.h,B-AG.01.h.01,B-AG.01.h.01.a,B-AG.01.h.01.b,B-AG.01.h.01.c,B-AG.01.h.01.d,B-AG.01.h.01.e,B-AG.01.h.01.f,B-AG.01.h.02,B-AG.01.h.02.a,B-AG.01.h.02.b,B-AG.01.h.02.c,B-AG.01.h.02.d,B-AG.01.h.02.e,B-AG.01.h.02.f,B-AG.01.h.02.g,B-AG.01.h.02.h,B-AG.01.h.02.i,B-AG.01.i,B-AG.01.k,B-AG.01.l,B-AG.01.l.01,B-AG.01.l.02,B-AG.01.l.03,B-AG.01.l.04,B-AG.01.m,B-AG.01.n,B-AG.01.n.02,B-AG.01.n.03,B-AG.01.n.05,B-AG.01.n.06,B-AG.01.n.07,B-AG.01.n.08,B-AG.01.n.09,B-AG.01.n.10,B-AG.01.n.11,B-AG.01.n.12,B-AG.01.n.13,B-AG.01.n.14,B-AG.01.n.15,B-AG.01.n.16,B-AG.01.n.17,B-AG.01.n.17.a,B-AG.01.n.17.b,B-AG.01.n.18,B-AG.01.y,B-AG.01.y.01,B-AG.01.y.01.a,B-AG.01.y.01.b,B-AG.01.z,B-FOOD,B-X,I-AG.01,I-AG.01.aa,I-AG.01.ab,I-AG.01.ac,I-AG.01.ad,I-AG.01.ae,I-AG.01.d,I-AG.01.d.02,I-AG.01.d.03,I-AG.01.d.05,I-AG.01.d.06,I-AG.01.d.07,I-AG.01.e,I-AG.01.e.02,I-AG.01.f,I-AG.01.g,I-AG.01.h,I-AG.01.h.01,I-AG.01.h.01.a,I-AG.01.h.01.b,I-AG.01.h.01.c,I-AG.01.h.01.e,I-AG.01.h.01.f,I-AG.01.h.02,I-AG.01.h.02.a,I-AG.01.h.02.b,I-AG.01.h.02.c,I-AG.01.h.02.d,I-AG.01.h.02.e,I-AG.01.h.02.f,I-AG.01.h.02.g,I-AG.01.h.02.h,I-AG.01.h.02.i,I-AG.01.i,I-AG.01.k,I-AG.01.l,I-AG.01.l.01,I-AG.01.l.02,I-AG.01.l.03,I-AG.01.l.04,I-AG.01.m,I-AG.01.n,I-AG.01.n.02,I-AG.01.n.05,I-AG.01.n.06,I-AG.01.n.07,I-AG.01.n.08,I-AG.01.n.09,I-AG.01.n.10,I-AG.01.n.11,I-AG.01.n.12,I-AG.01.n.13,I-AG.01.n.14,I-AG.01.n.15,I-AG.01.n.16,I-AG.01.n.17.a,I-AG.01.n.17.b,I-AG.01.n.18,I-AG.01.y,I-AG.01.y.01,I-AG.01.y.01.a,I-AG.01.y.01.b,I-AG.01.z,I-FOOD,I-X,O,accuracy,macro avg,weighted avg
precision,0.0106951871657754,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00273224043715847,0.0,0.0,0.007547169811320755,0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012461059190031152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.029661016949152543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004149377593360996,0.0,0.004291845493562232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9305482357477987,0.8654491998422392,0.0075163909064250075,0.8659983860156889
recall,0.013157894736842105,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030120481927710845,0.0,0.0,0.007692307692307693,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013986013986013986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004273504273504274,0.03684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004608294930875576,0.0,0.004366812227074236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9299266509949002,0.8654491998422392,0.007605377275569192,0.8654491998422392
f1-score,0.011799410029498525,0.0,0.0,0.01092896174863388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028653295128939827,0.0,0.0,0.007619047619047619,0.0,0.0,0.005076142131979695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013179571663920923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004415011037527594,0.03286384976525822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004366812227074236,0.0,0.004329004329004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.930237339535601,0.8654491998422392,0.007556474114709118,0.8657223427137489
support,152.0,12.0,31.0,88.0,69.0,4.0,2.0,102.0,5.0,20.0,15.0,38.0,81.0,332.0,29.0,27.0,260.0,64.0,35.0,196.0,24.0,34.0,52.0,2.0,41.0,122.0,184.0,77.0,6.0,25.0,36.0,56.0,38.0,102.0,16.0,24.0,286.0,45.0,15.0,39.0,50.0,155.0,21.0,9.0,60.0,17.0,1.0,5.0,7.0,6.0,11.0,24.0,35.0,58.0,1.0,15.0,14.0,6.0,0.0,1.0,73.0,6.0,2.0,87.0,92.0,106.0,46.0,44.0,2.0,234.0,190.0,15.0,51.0,30.0,19.0,1.0,74.0,1.0,3.0,2.0,16.0,10.0,217.0,12.0,229.0,25.0,77.0,21.0,9.0,4.0,11.0,7.0,17.0,28.0,7.0,0.0,10.0,17.0,4.0,6.0,31.0,3.0,3.0,106.0,43.0,14.0,2.0,12.0,32.0,18.0,4.0,42.0,8.0,1.0,17.0,11.0,10.0,32.0,55.0,54.0,2.0,1.0,11.0,6.0,0.0,24.0,5.0,1.0,73.0,23.0,71.0,18.0,2.0,2.0,0.0,77847.0,0.8654491998422392,83671.0,83671.0
