ID|Food Concept|URLs
B000070|SYRUP|http://purl.obolibrary.org/obo/FOODON_03303225;http://purl.obolibrary.org/obo/FOODON_03430167
B000071|BLUE CHEESE DRESSING|http://purl.obolibrary.org/obo/FOODON_03303510;http://purl.obolibrary.org/obo/FOODON_03315498;http://purl.obolibrary.org/obo/FOODON_00001065
B000072|BLUE CHEESE|http://purl.obolibrary.org/obo/FOODON_03301128;http://purl.obolibrary.org/obo/FOODON_00001065
B000073|MARGARINE|http://purl.obolibrary.org/obo/FOODON_03301672
B000074|GINGER|http://purl.obolibrary.org/obo/NCBITaxon_94328
B000075|CRAB|http://purl.obolibrary.org/obo/FOODON_03411335
B000076|SEAWEED|http://purl.obolibrary.org/obo/FOODON_03412266
B000077|ITALIAN DRESSING|http://purl.obolibrary.org/obo/ancestro_0307;http://purl.obolibrary.org/obo/FOODON_03315498;http://purl.obolibrary.org/obo/FOODON_03303447
B000078|ITALIAN|http://purl.obolibrary.org/obo/ancestro_0307;http://purl.obolibrary.org/obo/hancestro_0307
B000079|HORSERADISH|http://purl.obolibrary.org/obo/FOODON_03316284
B000080|SHRIMP|http://purl.obolibrary.org/obo/FOODON_03411237
B000081|PEAS|http://purl.obolibrary.org/obo/NCBITaxon_3888
B000082|GLASS|http://purl.obolibrary.org/obo/FOODON_03500040
B000083|AVOCADO|http://purl.obolibrary.org/obo/NCBITaxon_3435;http://purl.obolibrary.org/obo/FOODON_03305236
B000084|SALSA|http://purl.obolibrary.org/obo/FOODON_03310086
B000085|CHILI POWDER|http://purl.obolibrary.org/obo/FOODON_03302030
B000086|TACO SAUCE|http://purl.obolibrary.org/obo/FOODON_03311146;http://purl.obolibrary.org/obo/FOODON_03302032
B000087|MUSHROOM|http://purl.obolibrary.org/obo/FOODON_00001287
B000088|GOAT|http://purl.obolibrary.org/obo/FOODON_03411328;http://purl.obolibrary.org/obo/NCBITaxon_9925
B000089|ONION POWDER|http://purl.obolibrary.org/obo/FOODON_03316347;http://purl.obolibrary.org/obo/FOODON_03301845
B000090|SPINACH|http://purl.obolibrary.org/obo/NCBITaxon_3562
B000091|TURKEY|http://purl.obolibrary.org/obo/GAZ_00000558;http://purl.obolibrary.org/obo/NCBITaxon_9103
B000092|EVAPORATED MILK|http://purl.obolibrary.org/obo/FOODON_03301505;http://purl.obolibrary.org/obo/UBERON_0001913
B000093|BAKING POWDER|http://purl.obolibrary.org/obo/FOODON_03301940
B000094|PICKLING SPICE|http://purl.obolibrary.org/obo/FOODON_03303380;http://purl.obolibrary.org/obo/FOODON_03304737
B000095|BRINE|http://purl.obolibrary.org/obo/FOODON_03302715
B000096|TEMPERATURE|http://purl.obolibrary.org/obo/PATO_0000146
B000097|FISH SAUCE|http://purl.obolibrary.org/obo/FOODON_03317197;http://purl.obolibrary.org/obo/FOODON_03311146;http://purl.obolibrary.org/obo/FOODON_03411222
B000098|VERMICELLI|http://purl.obolibrary.org/obo/FOODON_03303926
B000099|SPRING|http://purl.obolibrary.org/obo/ENVO_00000027
B000100|BASIL|http://purl.obolibrary.org/obo/NCBITaxon_39350
B000101|FISH|http://purl.obolibrary.org/obo/NCBITaxon_7898;http://purl.obolibrary.org/obo/NCBITaxon_7777;http://purl.obolibrary.org/obo/FOODON_03411222
B000102|THAI|http://purl.obolibrary.org/obo/hancestro_0500;http://purl.obolibrary.org/obo/ancestro_0500
B000103|PAPRIKA|http://purl.obolibrary.org/obo/FOODON_03301105
B000104|CAYENNE PEPPER|http://purl.obolibrary.org/obo/FOODON_03315872
B000105|GRATED CHEESE|http://purl.obolibrary.org/obo/FOODON_03302803
B000106|POTATOES|http://purl.obolibrary.org/obo/NCBITaxon_4113
B000107|CHORIZO|http://purl.obolibrary.org/obo/FOODON_03316070
B000108|POTATO|http://purl.obolibrary.org/obo/NCBITaxon_4113
B000109|THYME|http://purl.obolibrary.org/obo/NCBITaxon_49992
B000110|CORN SYRUP|http://purl.obolibrary.org/obo/FOODON_03303225;http://purl.obolibrary.org/obo/FOODON_03301061;http://purl.obolibrary.org/obo/NCBITaxon_381124
B000111|LIME|http://purl.obolibrary.org/obo/FOODON_03305086
B000112|LEBANESE|http://purl.obolibrary.org/obo/ancestro_0443;http://purl.obolibrary.org/obo/hancestro_0443
B000113|FETA CHEESE|http://purl.obolibrary.org/obo/FOODON_03307280
B000114|VERMOUTH|http://purl.obolibrary.org/obo/FOODON_03307808
B000115|GELATIN|http://purl.obolibrary.org/obo/FOODON_03315647;http://purl.obolibrary.org/obo/CHEBI_5291
B000116|SHERRY|http://purl.obolibrary.org/obo/FOODON_03310760
B000117|PEANUT BUTTER|http://purl.obolibrary.org/obo/FOODON_03306867;http://purl.obolibrary.org/obo/FOODON_03310351;http://purl.obolibrary.org/obo/NCBITaxon_3818
B000118|RICE CEREAL|http://purl.obolibrary.org/obo/NCBITaxon_4530;http://purl.obolibrary.org/obo/FOODON_03310609
B000119|CHOCOLATE|http://purl.obolibrary.org/obo/FOODON_03307240
B000120|FLAX|http://purl.obolibrary.org/obo/NCBITaxon_4006
B000121|SEED|http://purl.obolibrary.org/obo/PO_0009010
B000122|MUSTARD POWDER|http://purl.obolibrary.org/obo/FOODON_03306359
B000123|CHEESE SPREAD|http://purl.obolibrary.org/obo/FOODON_03302019
B000124|PULSE|http://purl.obolibrary.org/obo/FOODON_00001168
B000125|BEER|http://purl.obolibrary.org/obo/FOODON_03301619
B000126|CHILE|http://purl.obolibrary.org/obo/GAZ_00002825
B000127|SLICED|http://purl.obolibrary.org/obo/FOODON_03430137
B000128|FRENCH|http://purl.obolibrary.org/obo/ancestro_0363;http://purl.obolibrary.org/obo/hancestro_0363
B000129|DIAMETER|http://purl.obolibrary.org/obo/PATO_0001334
B000130|CHILI PEPPER|http://purl.obolibrary.org/obo/FOODON_03315873
B000131|VEGETABLE SOUP MIX|http://purl.obolibrary.org/obo/FOODON_03309460;http://purl.obolibrary.org/obo/FOODON_03304911;http://purl.obolibrary.org/obo/FOODON_03315571
B000132|CHEESE DIP|http://purl.obolibrary.org/obo/FOODON_03302985
