ID|Food Concept|URLs
C000062|DILL|http://purl.bioontology.org/ontology/SNOMEDCT/256331002
C000063|PASTA SAUCE|http://purl.bioontology.org/ontology/SNOMEDCT/227519005;http://purl.bioontology.org/ontology/SNOMEDCT/227535003;http://purl.bioontology.org/ontology/SNOMEDCT/226740002
C000064|SPAGHETTI|http://purl.bioontology.org/ontology/SNOMEDCT/226744006
C000065|NOODLES|http://purl.bioontology.org/ontology/SNOMEDCT/226735005
C000066|MUFFIN|http://purl.bioontology.org/ontology/SNOMEDCT/226704004
C000067|PASTA|http://purl.bioontology.org/ontology/SNOMEDCT/226740002
C000068|NUT|http://purl.bioontology.org/ontology/SNOMEDCT/13577000
C000069|CRACKER|http://purl.bioontology.org/ontology/SNOMEDCT/226543002
C000070|NUTMEG|http://purl.bioontology.org/ontology/SNOMEDCT/735046009
C000071|BACON|http://purl.bioontology.org/ontology/SNOMEDCT/226928005
C000072|SYRUP|http://purl.bioontology.org/ontology/SNOMEDCT/229862008
C000073|WHITE PEPPER|http://purl.bioontology.org/ontology/SNOMEDCT/412066006;http://purl.bioontology.org/ontology/SNOMEDCT/442521000124107
C000074|BLUE CHEESE|http://purl.bioontology.org/ontology/SNOMEDCT/102264005;http://purl.bioontology.org/ontology/SNOMEDCT/442551000124103
C000075|HOT PEPPER|http://purl.bioontology.org/ontology/SNOMEDCT/442671000124107;http://purl.bioontology.org/ontology/SNOMEDCT/412066006
C000076|MARGARINE|http://purl.bioontology.org/ontology/SNOMEDCT/226890008
C000077|GINGER|http://purl.bioontology.org/ontology/SNOMEDCT/227400003
C000078|CRAB|http://purl.bioontology.org/ontology/SNOMEDCT/736159005
C000079|CUCUMBER|http://purl.bioontology.org/ontology/SNOMEDCT/735213008
C000080|SEAWEED|http://purl.bioontology.org/ontology/SNOMEDCT/82114006;http://purl.bioontology.org/ontology/SNOMEDCT/227265009
C000081|ITALIAN DRESSING|http://purl.bioontology.org/ontology/SNOMEDCT/443721000124105
C000082|CAULIFLOWER|http://purl.bioontology.org/ontology/SNOMEDCT/735336002
C000083|HORSERADISH|http://purl.bioontology.org/ontology/SNOMEDCT/735040003
C000084|SALMON|http://purl.bioontology.org/ontology/SNOMEDCT/735009005
C000085|SHRIMP|http://purl.bioontology.org/ontology/SNOMEDCT/278840001
C000086|SOUP|http://purl.bioontology.org/ontology/SNOMEDCT/227566009
C000087|PEAS|http://purl.bioontology.org/ontology/SNOMEDCT/260184002
C000088|POPCORN|http://purl.bioontology.org/ontology/SNOMEDCT/226726003
C000089|BLACK PEPPER|http://purl.bioontology.org/ontology/SNOMEDCT/412066006;http://purl.bioontology.org/ontology/SNOMEDCT/412060000
C000090|AVOCADO|http://purl.bioontology.org/ontology/SNOMEDCT/735249009
C000091|CHILI POWDER|http://purl.bioontology.org/ontology/SNOMEDCT/227385006
C000092|BEAN|http://purl.bioontology.org/ontology/SNOMEDCT/256354006
C000093|MUSHROOM|http://purl.bioontology.org/ontology/SNOMEDCT/735045008
C000094|SEASONING|http://purl.bioontology.org/ontology/SNOMEDCT/227553009
C000095|SPINACH|http://purl.bioontology.org/ontology/SNOMEDCT/256329006
C000096|EVAPORATED MILK|http://purl.bioontology.org/ontology/SNOMEDCT/70813002;http://purl.bioontology.org/ontology/SNOMEDCT/226787009
C000097|SPICE|http://purl.bioontology.org/ontology/SNOMEDCT/24515005
C000098|VERMICELLI|http://purl.bioontology.org/ontology/SNOMEDCT/226748009
C000099|LETTUCE|http://purl.bioontology.org/ontology/SNOMEDCT/735042006
C000100|BASIL|http://purl.bioontology.org/ontology/SNOMEDCT/735106000
C000101|FISH|http://purl.bioontology.org/ontology/SNOMEDCT/735971005
C000102|MINT|http://purl.bioontology.org/ontology/SNOMEDCT/226041007
C000103|PAPRIKA|http://purl.bioontology.org/ontology/SNOMEDCT/227408005
C000104|POTATO|http://purl.bioontology.org/ontology/SNOMEDCT/735053000
C000105|YOGURT|http://purl.bioontology.org/ontology/SNOMEDCT/226863004
C000106|THYME|http://purl.bioontology.org/ontology/SNOMEDCT/227413009
C000107|CORN SYRUP|http://purl.bioontology.org/ontology/SNOMEDCT/229862008;http://purl.bioontology.org/ontology/SNOMEDCT/412064009;http://purl.bioontology.org/ontology/SNOMEDCT/412357001
C000108|FETA CHEESE|http://purl.bioontology.org/ontology/SNOMEDCT/226831005;http://purl.bioontology.org/ontology/SNOMEDCT/102264005
